Aljaz Bedene,Victor Estrella Burgos
Facundo Bagnis,Daniel Evans
Nicolas Mahut,Ryan Harrison
Ivan Dodig,Denis Istomin
Go Soeda,Malek Jaziri
Federico Delbonis,Steve Johnson
Adrian Mannarino,Karen Khachanov
Stephane Robert,Dusan Lajovic
James Duckworth,Paolo Lorenzi
Taylor Fritz,Gilles Muller
Alex Bolt,Yoshihito Nishioka
Tommy Haas,Benoit Paire
Bjorn Fratangelo,Noah Rubin
Yen-Hsun Lu,Andrey Rublev
Marcel Granollers,Dudi Sela
Paul-Henri Mathieu,Andreas Seppi
Dmitry Tursunov,Radek Stepanek
Joao Sousa,Jordan Thompson
Mikhail Kukushkin,Frances Tiafoe
Adam Pavlasek,Andrew Whittington
Thomas Fabbiano,Donald Young
Guillermo Garcia-Lopez,Mischa Zverev
John-Patrick Smith,Radek Stepanek
Tim Smyczek,Frances Tiafoe
Hiroki Moriya,Bjorn Fratangelo
Denis Kudla,Lukas Lacko
Evgeny Donskoy,Noah Rubin
Rajeev Ram,Jurgen Melzer
Yuki Bhambri,Ernesto Escobedo
Peter Polansky,Andrey Rublev
Julien Benneteau,Alex Bolt
Marco Trungelliti,Go Soeda
Andre Ghem,Thomas Fabbiano
Duckhee Lee,Alexander Bublik
Di Wu,Ivan Dodig
James McGee,Blake Mott
Casper Ruud,Reilly Opelka
Jan Satral,Luca Vanni
Blaz Kavcic,Radek Stepanek
Yannik Reuter,Frances Tiafoe
Yuichi Sugita,Andrey Rublev
Stefanos Tsitsipas,Bjorn Fratangelo
Maximo Gonzalez,Lukas Lacko
Matthew Ebden,Evgeny Donskoy
Taro Daniel,Jurgen Melzer
Tobias Kamke,Blake Mott
Darian King,Denis Kudla
Marcelo Arevalo,Rajeev Ram
Tatsuma Ito,Ernesto Escobedo
Mirza Basic,Peter Polansky
Mohamed Safwat,Tim Smyczek
Guilherme Clezar,Julien Benneteau
Adrian Menendez-Maceiras,Go Soeda
Vincent Millot,James McGee
Akira Santillan,Thomas Fabbiano
Roberto Carballes Baena,Noah Rubin
Pedja Krstin,Yuki Bhambri
Matthias Bachinger,Alex Bolt
Kimmer Coppejans,Alexander Bublik
Laslo Djere,Ivan Dodig
Yuya Kibi,Andre Ghem
Bradley Mousley,Duckhee Lee
Uladzimir Ignatik,Hiroki Moriya
Mitchell Krueger,Reilly Opelka
Jonathan Eysseric,Casper Ruud
Yasutaka Uchiyama,Jan Satral
Kenny De Schepper,John-Patrick Smith
